company,origin_flag,flag_basis,possible_merge_artifact,occurrences_in_pdf,pdf_pages,description
FOGTEC BRANDSCHUTZ GMBH,FOREIGN,Germany (GmbH),False,1,14,"Connectors Interface Modules Slim Relay 1 Torque Sealants / FOGTEC Low Voltage Current Transformers Schraubensicherungslack Rail Systems delivers tailored fire detection EMERSON PROCESS MANAGEMENT 2 Threadlockers - B222, B243, B270, B577 (smoke, heat, aspirating, gas, HMI) and INDIA PVT LTD 3 TAGGR "
FRONTIER SPRINGS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,14,"stock. With over 25,000 systems worldwide, High Tensile Studs High Tensile Bolts & Nuts worldwide. Our legacy is built on precision Industrial Lubricants solutions ramps acquisition and field testing companies all over the world. pole bars, and Custom metro pole bars training for safe, precise indus"
GALA PRECISION ENGINEERING JIANGSU RAILTECO EQUIPMENT,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,15,"Instrumentation products, delivering Coatings, Phosphating, Plants & Engineering driver assistance systems train front-end Moving source beamforming Cabin comfort rolling and recycling company. Hindalco’s Honeycomb Panels. 2. Standard pole bars, fasteners. Service offerings include tool MEMU train s"
HOFFMANN QUALITY TOOLS INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,28,- Machining Tools -Clamping Tools - Measuring Instruments -Power Tools - Workstation Storage Units -Tool trolleys - Tool24
HOLLAND,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,28,"From track measurement devices and automated welding equipment to rail trains and rail car prepping services, we design, manufacture, operate, and maintain our equipment, allowing us to be the most efficient and the most innovative in the industry. KAYNES TECHNOLOGY INDIA LIMITED KHUSHI COMMUNICATIO"
HONEYCOMB INTERNATIONAL INC. HUGEHIPPO TECHNOLOGIES LLP,FOREIGN,USA (Inc.),False,2,"19,29","1. Aluminium Honeycomb Panels, Nomex 1. PA Subsystem 2.Passenger Information Honeycomb Panels, Stainless Steel Display System 3. Video Entertainment Honeycomb Panels, and Customized Systems 4. CCTV Subsystem Honeycomb Panels. 2. Standard pole bars, Reinforced pole bars, Corrosion-resistant HYDAC IND"
"HONEYCOMB INTERNATIONAL INC. HUGEHIPPO TECHNOLOGIES LLP HYTORC TOOLS INDIA PVT LTD INDIAN RAILWAYS / MODERN COACH FACTORY, RAEBAREL PVT LTD",FOREIGN-PARENT (India subsidiary/JV),USA (Inc.),True,2,"20,30","1. Aluminium Honeycomb Panels, Nomex 1. PA Subsystem 2.Passenger Information HYTORC manufactures hydraulic, Honeycomb Panels, Stainless Steel Display System 3. Video Entertainment pneumatic, and battery torque wrenches, LHB Coaches (Smart, Humsafar, Tejas, Honeycomb Panels, and Customized Systems 4."
HORIZON INDUSTRIAL PRODUCTS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"19,29","plates,Electronic sensors,Strip/pipe/cable clamps,hydraulic cylinders, Sheet metal stamping pressed components Filters,Valves,QDC,Plate Heat / assemblies, Stamping press tools and Dies Exchangers,Hydraulic Power (esp. Progressive), Jigs / Fixtures / Panel Pack,accumulator,air breather,manifold. Chec"
HP VALVES & FITTINGS INDIA HYDROPACK (INDIA) PVT.LTD PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"19,29","Hydropack manufactures Bogie Test Stand, HOFFMANN QUALITY TOOLS Tube & Pipe Fittings, Valves such as Static Bogie Load Testing Machine, Mobile INDIA PVT LTD Manifold/Needle/Ball/NRV/PRV/Globe/Gat Lifting Jacks, CTRB Pullers, Double Ended e Valves, High Pressure Fittings & Valves, - Machining Tools -"
HP VALVES & FITTINGS INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"20,30","HYDROPACK (INDIA) PVT.LTD 45545-2 IMO Recognised Fire Testing Fire INRAIL TRANSPORTATION PRIVATE and Smoke Testing Facility LIMITED Hydropack manufactures Bogie Test Stand, HOFFMANN QUALITY TOOLS Tube & Pipe Fittings, Valves such as Static Bogie Load Testing Machine, Mobile Communication Gateways, H"
HUBER+SUHNER,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"19,29","CNC above-floor & under-floor wheel lathes, HOLLAND HUBER+SUHNER delivers Vertical turning & boring machines, From track measurement devices and high-performance connectivity solutions Automated coach wash plants, automated welding equipment to rail trains with RF, fiber optic, and low frequency Syn"
ILME S.P.A,FOREIGN,Italy (SpA),False,2,"19,29","modules. Passenger Information Systems, includes EOT Crane, Gantry Crane, Hsfg High Tensile Fasteners -anchor Bolts, Heavy duty industrial connections, Plug & CCTV and Infotainment Systems. Telematics ITW INDIA PRIVATE LIMITED Semi-Gantry Crane, Flexi-Crane, Sleeper Screws, T-head Bolts, Hex sockets"
INDO ELECTRICALS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"20,30","Sheet metal stamping pressed components Filters,Valves,QDC,Plate Heat Grommets with Connector,Split cable entry / assemblies, Stamping press tools and Dies Exchangers,Hydraulic Power glands with grommets,Integrated Fire Heavy Duty Multipole Electrical Connectors (esp. Progressive), Jigs / Fixtures /"
INDUSTRIES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,14,"As a single source for high perfromance Point Machines for Railways DC Motors for FABRIMECH ENGINEERS PVT LTD connectors for Rail & Metro, we offer double Railways Three phase AC Motors 0.12 kW to and single ferrule connectors, Across Frame Aluminium Gangway, SS Reservoirs, 30 KW Motors for Textile "
INSTAMOD AIRPIPE PRIVATE LIMITED KAMLESH METAL & ALLOY,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"19,29","Platform Screen Doors. Services include applications including metal sign assembly. project development, localization, Compressed air pipeline and fittings. Hardox 400/450/500/600 HI ACE. H Tuf, operator-focused design, and sustainable JAINAM SEATS Strenx 700/900/960//1100 Steel Plate mobility consu"
ITT CORPORATION INDIA PVT LTD,FOREIGN-PARENT (India subsidiary/JV),USA-style (Corporation),True,2,"20,30","JSTI TRANSFORMERS PVT. LTD. Connectors. Mino 7/8"" Circular Connectors. Products: Shock Absorbers / Dampers for M12 Power Connectors L/S/K/T Code. Traction Transformers CAMC for Traction Rolling stock, Dampers for Locomotives, M23/M40 Servo Connectors. Security & Transformers LHB Coaches, Vande Bhara"
JIANGSU RAILTECO EQUIPMENT,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,17,"12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","Honeycomb Panels. 2. Standard pole bars, fasteners. Service offerings include tool MEMU train sets. Export of 100 loco hauled EDILON)(SEDRA INDIA PRIVATE LIMITED I SAT NETWORK ENGINEERS PVT LTD CO., LTD. Reinforced pole bars, Corrosion-resistant HYDAC INDIA PVT. LTD. rental, calibration, site suppor"
JINDAL STAINLESS LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"21,31","Checkers, Car jacks, Bathroom Radiators, Membrane Plate without connector,Strain passenger coaches and locomotives. Two Wheeler Seats / saddles, Metal HYDRODYNE TEIKOKU (INDIA) PVT LTD Relief EN 62444, EMC Shield Clamp INDUS TECHPRO (ATLAS COPCO) Slabs, Blooms, Hot Rolled (HR) Coils, Cold fabricatio"
K2 CRANES & COMPONENTS PVT. LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"20,30","Performance Line Dampers, Endurance Line Dampers, Technology line Dampers. Our comprehensive range of products KAY PEE INDUSTRIES includes EOT Crane, Gantry Crane, Hsfg High Tensile Fasteners -anchor Bolts, ITW INDIA PRIVATE LIMITED Semi-Gantry Crane, Flexi-Crane, Sleeper Screws, T-head Bolts, Hex U"
KAMLESH METAL & ALLOY,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"20,30","applications including metal sign assembly. Hardox 400/450/500/600 HI ACE. H Tuf, JAINAM SEATS Strenx 700/900/960//1100 Steel Plate SSAB Sweden Make Manufacturer and exporter of Loco Pilot seats for off road vechiles for Indian railway,"
KAPTRONICS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"21,31",The Dynamic Braking Grid is designed on the basis of the horse power of the locomotive
KARO COILS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,4,"20,21,30,31","27.5KV 2Pole Circuit Breaker 25kA Railteco is principally engaged in the design, At Karo we specialise in manufacturing of 2500Amps 27.5KV 2Pole Load Break production, maintenance, sales and service Cold Coiled Springs 0.4 to 17 mm Wire Switch 1.6kA 2000Amps of railway equipment products, which Diam"
KATARIA SALES PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"21,31","3D Scanner, 3D Printer, Spectrometer and associated accessories"
KATLAX ENTERPRISES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"19,20,21,29,30,31","COMMERCE (Precision strips,Coin Blanks,Razor Pneumatic Products IGNITO LABS PRIVATE LIMITED Blades,Long Products (Rebars & Wire Rods), M12 Sensor Actuator Cables, M12 A,D & X Indo-German Trade Promotion Business Coded Field Wire able Crimp & Push-in Type NABL Accredited vide certificate number TC Ad"
KAY PEE INDUSTRIES,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"21,31","Hsfg High Tensile Fasteners -anchor Bolts, Sleeper Screws, T-head Bolts, Hex Bolts,nuts, Nyloc Nuts,studs, Csk Screws, Dti Washers, Square & Spring Washers, Hinges, Bushes Etc In Bzp, Yzp, Phosphating, Hdg, Trivalent, Geomat, Dacromat Finishes; Forgings & Infrastructure Components"
KAYNES TECHNOLOGY INDIA LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"12,22",1 Hardware and Embedded Design Services 2 Electronics Manufacturing Services (EMS) 3 Box Build/ Integration 4 Cable Harness 5 Mould Design and Injection moulding 6 Sheet Metal 7 Bare PCB 8 OSAT 9 Repair Services
KAYNES TECHNOLOGY INDIA LIMITED KHUSHI COMMUNICATIONS PRIVATE KNORR-BREMSE INDIA PRIVATE LIMITED LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,10,"13,14,15,16,17,18,19,20,21,23","1 Hardware and Embedded Design Supply, Maintenance and Customer service Services We are a technology-driven solutions of Air Supply Systems, Braking Systems, 2 Electronics Manufacturing Services provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, (EMS) Synchronization, Test & Mea"
KEETRONICS INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,17,"12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","leading manufacturers of Advance Input Devices like Membrane Keyboards, Rugged Keyboards, Rugged Displays Capacitive Keyboards ,Long Travel keyboards and Touch Screen with Optical bonding and UI/UX service ,Touchmatik Smart Touch switches in Pune Ma"
KERNEX MICROSYSTEMS (INDIA) LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"12,22","Kernex Microsystems Design & Manufactures Advanced Railway Safety Systems including Kavach TCAS, CTC, Moving-Block Kavach, Smart Yard solutions, Digital Twin, SCADA, ESS Testing, Embedded Solutions, Turnkey Automation, contract Manufacturing& service"
KHARAUJHA ENGINEERING LLP,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"12,22","1. Rocker Arm Assy:Injector & Exhaust, 2. Roller Assy 3. Race Inner 4. Pin Cam follower 5. Screw Adjusting 6. Button Valve Bridge 7. Spring Button 8. Exhaust Valve Bridge 9. Lash Adjuster 10. Retainer Bearing 11. Counter Weight LB Front/Rear 12. Lock Spring Seat"
KHUSHI COMMUNICATIONS PRIVATE KNORR-BREMSE INDIA PRIVATE LIMITED LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,12,"Supply, Maintenance and Customer service We are a technology-driven solutions of Air Supply Systems, Braking Systems, provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, Synchronization, Test & Measurement, ASCE, Shock Absorbers, Wiper Equipment, Remote Fiber Testing & Monitoring"
KINECO LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,"Kineco's IRIS certified railway business specialises in design, development, manufacture and installation of rail coach interior and exterior product solutions namely interior panelling, sanitary modules, vacuum toilet systems, seating, front ends."
KINET RAILWAY SOLUTION LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,12,Vande Bharat Train
KINET RAILWAY SOLUTION LIMITED PHOOLTAS TRANSRAIL LIMITED PRECISION INDUSTRIAL SYSTEMS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,22,"Stanchions Brackets ( Crome) Document / Hooters, Ringers Sirens Illuminated Push CoilSpring Washer / Security fasteners. Bus We innovative quality products and make our"
KISWOK INDUSTRIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,10,"12,13,14,15,16,17,18,19,20,21","Railway castings, Automobile castings, Industrial Castings, Municipal castings, Agricultural castings, Off-Highway."
KLOVER TEL PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,12,"12,13,14,15,16,17,18,19,20,21,23,24","Control & diagnostics platforms for effective train control and fleetwide monitoring. DPWCS, RMS, etc. High-accuracy weighing & balancing systems that improve safety, asset life and operational efficiency. In-motion static & portable weigh bridges."
KNIPEX TOOLS INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,12,"12,13,14,15,16,17,18,19,20,21,23,24","Tools for electrical, mechanical, and industrial applications- covering cutting, crimping, screwdriving, clamping, and torque wrenches. Intercable leads with hydraulic crimping and cutting solutions ensuring safe, durable, and efficient performance."
LINQHAUL INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"24,25","2 Electronics Manufacturing Services provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, Seamless Stainless Tubes & Pipes, End (EMS) Synchronization, Test & Measurement, ASCE, Shock Absorbers, Wiper Equipment, Fittings (Brake Beams, Struts, Housings, Supply Chain Automation Railw"
LINQHAUL INDIA PVT LTD MIPALLOY PRIVATE LIMITED PANDROL RAHEE TECHNOLOGIES PREMNATH ENGINEERING WORKS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,23,"Seamless Stainless Tubes & Pipes, End Hinges, Handles, Door Stay, Gasket, in form of Billet, Ingot, Mother Shell, Tubes & LiDAR/FLS, Traffic & Transportation, annually in 3100+ variants, catering to Testing System, Phased Array Ultrasonic Rugged Data-Acquisition System brake boxes, emergency bridge "
LINQHAUL INDIA PVT LTD MIPALLOY PRIVATE LIMITED PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,3,"26,27,28","2 Electronics Manufacturing Services provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, Seamless Stainless Tubes & Pipes, End Hinges, Handles, Door Stay, Gasket, in form of Billet, Ingot, Mother Shell, Tubes & LiDAR/FLS, Traffic & Transportation, (EMS) Synchronization, Test & Me"
"MATERIALS CO., LTD. ASSOCIATION OF INDIA",FOREIGN-PARENT (India subsidiary/JV),"East Asia (Co., Ltd. style)",False,1,39,Services. We also provides OEM solutions
MIPALLOY PRIVATE LIMITED PANDROL RAHEE TECHNOLOGIES PREMNATH ENGINEERING WORKS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"24,25","Hinges, Handles, Door Stay, Gasket, in form of Billet, Ingot, Mother Shell, Tubes & LiDAR/FLS, Traffic & Transportation, annually in 3100+ variants, catering to Testing System, Phased Array Ultrasonic Rugged Data-Acquisition System brake boxes, emergency bridge covers, Facility, Aluminum Castings, F"
MITECH BUS DOOR SYSTEMS CORPORATION LIMITED,FOREIGN,USA-style (Corporation),False,3,"23,24,25","Cable glands, Connectors, Conduits, Cable 200,000 articles made from materials such performance, reliability, and global standards Meters, Infrared Thermometers, Insulation Mtekpro Technologies offers complete Railway Overhead Electrical Construction & motors, motors, frequency inverters, enclosures"
MM AUTO INDUSTRIES PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,25,"brands of the world. offers books, models, and memorabilia to â€¢ MVCC â€¢ Pressure Tight Cables â€¢ & simulations Reflectors (P) LIMITED industry-leading brands, including Vehicles, Inspection Cars Service: New POLYCAB INDIA LIMITED 2. Wedge: SK-77579, WD-04017, WD- 13012, Equipment, Small Track Ma"
NATIONAL RAIL MUSEUM,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,26,"Fire Survival Cable â€¢ Shipbuilding and Boltight hydraulic tensioners and Expander Crash/impact Testing. DigitalTrainsâ„¢: Magazine Pouch Ac Louvers And Consoles We stock an extensive range of Grinding, Flash Butt Welding Machines, 4 / 8 in Stainless Steel/Aluminium WD-85079-S/2, WD-97049-S/3, Foll"
NIRMAL WIRES PRIVATE LIMITED PIONEER NUTS & BOLTS PVT LTD PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,26,"Engineered for watertightness, fire Hydraulic Re-railing equipment, Wheel locomotive overhauling, maintenance and IGBT heat sinks Cyclonic air filters room solutions, Modular Operation"
ORGANISATION,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,22,Euro Balise Cable Screened Signaling cable Fire alarm cable systems Public address Research & Development of New & systems Earthing cable Improved Designs/Technology.Testing & recommending authority for Statutory REBS LUBRICATION INDIA PVT LTDQ Clearances (including Metro System).Quality Assurance &
PACKET LOGICS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,39,"rings), washers, precision shims, and sheet Testing and Measuring Equipment metal stampings/assemblies. Custom-built components as per drawings for automotive, PALFINGER INDIA PRIVATE LIMITED agri, railways and industrial OEMs. Railways Cranes, Mobile Bridge Inspection Unit, Loader Cranes - Knuckle "
PACOLINE INDUSTRIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,39,"Relays Solid State Relays Gpssr Relays Locomotive & Metro Rear View Mirror Roller Power Relays Magnetic Security Contacts Blinds & Sun Visiors Metro Grab Handles Diode Oring Unit Peizo Electric Buzzers Stanchions Brackets ( Crome) Document / Hooters, Ringers Sirens Illuminated Push Manual Holders To"
PANDROL RAHEE TECHNOLOGIES PREMNATH ENGINEERING WORKS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,11,"22,26,27,28,32,33,34,35,36,37,38","provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, Facility, Aluminum Castings, Fully assembled including fastening systems, RHEDA & Coach Interiors and Track applications. BACKLASH GEARBOXES. Bogie Suspension, Draft Gears, Air Dryers, Synchronization, Test & Measurement, ASCE, "
PANDROL RAHEE TECHNOLOGIES PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"29,30,31,39,40,41","2 Electronics Manufacturing Services provider specializing in Timing & TBUs, Disc Brake Systems, Brake Disc, Facility, Aluminum Castings, Fully assembled (EMS) Synchronization, Test & Measurement, ASCE, Shock Absorbers, Wiper Equipment, products 3 Box Build/ Integration Remote Fiber Testing & Monito"
PARAMOUNT INDUSTRIES,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"29,30,31,39,40,41","manufacture and installation of rail coach Construction 5. Customized Products KEETRONICS INDIA PVT LTD Paramount Industries :- Electromechanical interior and exterior product solutions Relays Relay Boards Plug In Relays Auto leading manufacturers of Advance Input namely interior panelling, sanitary"
PARAMOUNT INDUSTRIES PROJECTIONS STRATEGY LLP,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,11,"22,26,27,28,32,33,34,35,36,37,38","manufacture and installation of rail coach Construction 5. Customized Products assemblies. Expertise in processes like Heavy Duty Connector, M12 Cables, M12 PRAMA R&D Centre in Mumbai drives the Paramount Industries :- Electromechanical interior and exterior product solutions Deep draw components of"
PEI-GENESIS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,15,"22,26,27,28,29,32,33,34,35,36,37,38,39,40,41","Vande Bharat Train Manual Holders Tool Box First Aid Box Button Products: New Track Construction, Rail Bars in Copper. Machined & Sheet Metal Parts 1. Centre Pivot Assembly (Top & Bottom): business stand out from the crowd. Magazine Pouch Ac Louvers And Consoles We stock an extensive range of Grindi"
PERFECT GEARS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"PALFINGER INDIA PRIVATE LIMITED agri, railways and industrial OEMs. 1. Vande Bharat Chair car Seating Solutions Gears (Spur, Helical, Bevel, Worm 2. Vande Bharat Sleeper Seat & berth Railways Cranes, Mobile Bridge Inspection Unit, Loader Cranes - Knuckle Boom cranes PATIALA LOCOMOTIVE WORKS EMU/METR"
PERFECT MACHINING CENTRE,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,Recycling Cranes manufacture DETC. PLW also offers
PHOOLTAS TRANSRAIL LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"Stanchions Brackets ( Crome) Document / Hooters, Ringers Sirens Illuminated Push"
PHOOLTAS TRANSRAIL LIMITED PRECISION INDUSTRIAL SYSTEMS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,12,"27,28,29,32,33,34,35,36,37,38,39,41","The original Nord Lock Wedge Locking Side buffers, Buffer stops, Wheel stops, Stanchions Brackets ( Crome) Document / Hooters, Ringers Sirens Illuminated Push CoilSpring Washer / Security fasteners. Bus We innovative quality products and make our"
PINNACLE INDUSTRIES LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"components as per drawings for automotive,"
PIONEER NUTS & BOLTS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,40,"locomotive overhauling, maintenance and IGBT heat sinks Cyclonic air filters PANCHSHEEL FASTENERS supplies crictical spare parts for Indian Product Range Bolts Hex bolts (M6, M64, We manufacture fasteners conforming to Railways. 1/4"", 2.5"") Heavy hex bolts Hex cap screws Structural bolts Foundation "
PIONEER NUTS & BOLTS PVT LTD PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,13,"22,27,28,29,32,33,34,35,36,37,38,39,41","KNIPEX TOOLS INDIA PVT LTD locomotive overhauling, maintenance and IGBT heat sinks Cyclonic air filters room solutions, Modular Operation"
PRECISION INDUSTRIAL SYSTEMS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"30,40","CoilSpring Washer / Security fasteners. Bus We innovative quality products and make our Bars in Copper. Machined & Sheet Metal Parts 1. Centre Pivot Assembly (Top & Bottom): business stand out from the crowd. in Stainless Steel/Aluminium WD-85079-S/2, WD-97049-S/3, Following are some of the distingu"
PREMIER POLYFILM LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"29,39",EMU/METRO/LOCOMOTIVE Gearboxes Solutions 3. EMU Stainless Steel Seats 4. Shafts Rubber to Metal Bonded bushes Amrit Bharat Seat & berth Solutions 5. LHB POLYVANTIS (F&S SALES INDIA PVC FLOORING Vinyl Coated Upholstery PYROTECH WORKSPACE SOLUTIONS Geared Couplings. Coach Seat & berth Solutions 6. Met
PREMIER POLYFILM LTD PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"30,40","POLYVANTIS (F&S SALES INDIA PVC FLOORING Vinyl Coated Upholstery PYROTECH WORKSPACE SOLUTIONS PRIVATE LIMITED) cloth Fleet Graphics Film for interior & PVT LTD exterior application As per RDSO/ICF We design and manufacture ergonomic POWERTEC POWER SUPPLIES INDIA specifications control room consoles,"
PREMIER SEALS INDIA PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,16,"22,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41","Tools for electrical, mechanical, and PANCHSHEEL FASTENERS supplies crictical spare parts for Indian Product Range Bolts Hex bolts (M6, M64, Powertec Supplies offers rugged AC-DC & Theaters, and advanced industrial flooring. industrial applications- covering cutting, We manufacture fasteners conform"
PREMNATH ENGINEERING WORKS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"29,30,31,39,40,41","including fastening systems, RHEDA & Coach Interiors and Track applications. BACKLASH GEARBOXES. Bogie Suspension, Draft Gears, Air Dryers, booted blocks, USP, and precast drains. Our products include Densified Wood, Glass Filters, Onboard Water Coolers, installation & 1. Rail Cum Road Vehicle for d"
PRIVATE LIMITED PARAMOUNT INDUSTRIES PROJECTIONS STRATEGY LLP,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,3,"23,24,25","markers. as stainless steel, high tensile steel, and compliance. Testers to Calibrators, Oscilloscopes, electrical testing & measurement solutions, National High-Speed Rail Corporation Maintenance 2. Skyjack Inc, Canada & providing optimal drives solutions to our on-board, indoor, and outdoor applic"
PROJECTIONS STRATEGY LLP,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,6,"29,30,31,39,40,41","assemblies. Expertise in processes like Heavy Duty Connector, M12 Cables, M12 PRAMA R&D Centre in Mumbai drives the Deep draw components of CS and SS upto Push-Pull Connector, DC-DC Convertor, POLO INDIA technology innovation to catch up with the Marketing and Advertising Research and 8mm, spot weld"
PUJARA ENGINEERS,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,4,"30,31,40,41",Rivet Nuts / RIRPLOCK / Wedge lock / Double
PVT LTD RAMCO STEELS PVT LTD.,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,1,22,"Slack Adjuster - 750 , 600 & 600J Brake We manufacture and export anti-vibration Cylinder - 305 mm & 355 mm Air Brake (rubber-to-metal) parts like Inner Metal, Components, Auxiliary Reservoir - Mild Steel Outer Metal, Scheibe, Bolzen, Reaction Link, & Stainless Steel ( ASI 304), Dampers, Load Kern, "
PVT. LTD. THERMO CABLES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,True,2,"39,40","Driving Simulator, Battery Operated Rail cum railway equipment i.e. Temping machine, coming Trams in Stuttgart or Hanover. Road Shunter, Diesel Operated Rail cum FBW, NTC, DGS, Clip applicator, Bobyn Tesio Cooling Systems India Pvt. Ltd Tesio Cables & Wires - Instrumentation, Power & Road Shunting V"
PYROTECH TECHNOLOGIES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"31,41","We Are Manufacturer Of Pressure Transmitter , Process Control Instrument , Led Light , Fire Alarm System . Cctv"
PYROTECH WORKSPACE SOLUTIONS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"31,41","We design and manufacture ergonomic control room consoles, complete control room solutions, Modular Operation Theaters, and advanced industrial flooring. Services include design-to-build execution, project consultancy, and global turnkey solutions."
PYROTEK,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,2,"22,32","Complete range of internationally certified and customer proven soundproofing and thermal insulation materials & solutions, engineered for improved efficiency and comfort in rail carriages, locomotives, infrastructure hubs, tunnels, and more."
R&S INTERNATIONAL HOLDING AG,FOREIGN,Germany/Switzerland/Austria (AG),False,2,"22,32","The portfolio include oil distribution (up to 10 MVA), cast resin (up to 25 MVA) and power transformer (up to 120 MVA).and we supply to Utilities, Renwable projects and Applications (e.g. Railwway, Data Center, Harbor electrification)"
R&S INTERNATIONAL HOLDING AG PVT LTD,FOREIGN-PARENT (India subsidiary/JV),Germany/Switzerland/Austria (AG),False,1,34,"mobility, airports, ports, ropeways,"
R&S INTERNATIONAL HOLDING AG PVT LTD RAMCO STEELS PVT LTD.,FOREIGN-PARENT (India subsidiary/JV),Germany/Switzerland/Austria (AG),True,10,"23,24,25,26,27,28,29,30,31,33","The portfolio include oil distribution (up to 10 Slack Adjuster - 750 , 600 & 600J Brake MVA), cast resin (up to 25 MVA) and power We manufacture and export anti-vibration Cylinder - 305 mm & 355 mm Air Brake transformer (up to 120 MVA).and we supply (rubber-to-metal) parts like Inner Metal, Compone"
